firm_name,firm_group,reporting_period,period,product_category,complaints_opened
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1448
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3845
Telefonica UK Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,123
Tesco Personal Finance Limited,NO GROUP,2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,4254
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2024-03-01 to 2024-08-31,H2 2024,Insurance & pure protection,2415
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,5787
The Prudential Assurance Company Limited,M&G PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,712
The Royal Bank of Scotland Plc,NATWEST GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,39
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1724
Tradex Insurance Company PLC,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2485
TSB Bank plc,BANCO DE SABADELL SA,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,22
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,51800
USAY BUSINESS LTD,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,662
Utility Warehouse Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,2693
Virgin Money Unit Trust Managers Ltd,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,0
Vitality Corporate Services Limited,DISCOVERY LIMITED,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,8702
Vodafone Limited,NO GROUP,2024-04-01 to 2024-09-30,H2 2024,Insurance & pure protection,290
Volkswagen Financial Services (UK) Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,47
Wesleyan Assurance Society,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,143
Xbridge Limited,NO GROUP,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,1174
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,8
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,2249
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,2024-07-01 to 2024-12-31,H2 2024,Insurance & pure protection,3112
Accredited Insurance (Europe) Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,4649
Acm Ulr Limited,MARKERSTUDY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,723
Acorn Insurance & Financial Services Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,805
Acromas Insurance Company Limited,NO GROUP,2024-08-01 to 2025-01-31,H1 2025,Insurance & pure protection,2446
Action 365 Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,789
Adrian Flux Insurance Services Group,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,1554
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,708
Affinity Insurance Solutions Limited,MARKERSTUDY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,663
Ageas Insurance Limited,AGEAS SA-NV,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5090
Ageas Retail Limited,AGEAS SA-NV,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,912
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1585
Allianz Insurance Plc,ALLIANZ SE,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2758
AMERICAN EXPRESS SERVICES EUROPE LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,183
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,925
AmTrust Specialty Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2170
Animal Friends Insurance Services Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3055
ARAG Legal Expenses Insurance Company Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2041
Arthur J. Gallagher Insurance Brokers Limited,ARTHUR J GALLAGHER (UK) LTD,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1053
Assurant General Insurance Limited,ASSURANT INC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5778
Astrenska Insurance Limited,NO GROUP,2024-11-01 to 2025-04-30,H1 2025,Insurance & pure protection,2026
Asurion Europe Limited,ASURION,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1548
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,9569
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2024-08-01 to 2025-01-31,H1 2025,Insurance & pure protection,6366
AutoProtect (MBI) Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,515
Avantia Insurance Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1122
Aviva Health UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1262
Aviva Insurance Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,48979
Aviva Life Services UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3995
Aviva Protection UK Limited,AVIVA PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,642
AWP Assistance UK Ltd,ALLIANZ SE,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2911
AWP P&C S.A.,ALLIANZ SE,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1771
AXA Insurance Designated Activity Company,AXA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2085
AXA Insurance UK Plc,AXA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,16910
AXA PPP Healthcare Limited,AXA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,21855
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,33
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,211
Barclays Bank UK PLC,BARCLAYS PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,162
BISL Limited,MARKERSTUDY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,12473
British Gas Services Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,51725
BUPA Insurance Services Limited,BUPA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,31133
CALL ASSIST LIMITED,NO GROUP,2024-11-01 to 2025-04-30,H1 2025,Insurance & pure protection,711
Canada Life Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,200
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,8
Car Care Plan Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,886
CAROLE NASH INSURANCE CONSULTANTS LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3049
Castelan Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,552
Casualty & General Insurance Company (Europe) Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1114
Chubb European Group SE,CHUBB LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,4134
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,2024-08-01 to 2025-01-31,H1 2025,Insurance & pure protection,1
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,9
Complete Cover Group Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,905
Connells Limited,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,115
Countrywide Assured Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,263
Coutts & Company,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,13
Covea Insurance plc,COVEA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2528
Coventry Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2
Domestic & General Insurance Plc,CVC CAPITAL PARTNERS ADVISORY GROUP HOLDING FOUNDATION,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,60444
Embark Investment Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,0
Embark Services Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,0
ERGO TRAVEL INSURANCE SERVICES LTD,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2738
ERGO UK Specialty Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,574
esure Insurance Limited,ESURE GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,14395
EUI Limited,ADMIRAL GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,70326
Evolution Insurance Company Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,540
Exeter Friendly Society Limited,EXETER FRIENDLY SOCIETY LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1294
Experian Limited,EXPERIAN PLC,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,0
Family Assurance Friendly Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,530
Family Equity Plan Limited,FAMILY ASSURANCE FRIENDLY SOCIETY LTD,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,0
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,8149
FirstRand Bank Limited,FIRSTRAND LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,21
Forester Life Limited,FORESTER HOLDINGS (EUROPE) LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,29
Fortegra Europe Insurance Company Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3743
Halifax Share Dealing Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,0
Hastings Insurance Services Limited,HASTINGS GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,18123
HBOS Investment Fund Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,0
HELVETIA GLOBAL SOLUTIONS LTD,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,914
Highway Insurance Company Limited,ALLIANZ SE,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,744
Hiscox Insurance Company Limited,HISCOX LTD.,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,510
Homeserve Membership Limited,HOMESERVE PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2971
Hood Travel Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,740
Howserv Limited,STAYSURE HOLDINGS LTD,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2358
HSBC Bank Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2
HSBC UK Bank Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,548
I Go 4 Ltd.,MARKERSTUDY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,940
Inshur UK Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,614
INSURANCE FACTORY LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2708
INTACT INSURANCE UK LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,8694
Inter Partner Assistance SA,AXA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,8212
Leeds Building Society,LEEDS BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5
Legal and General Assurance Society Limited,LEGAL & GENERAL GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3051
Liverpool Victoria Financial Services Limited,LIVERPOOL VICTORIA GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1349
Liverpool Victoria Insurance Company Limited,ALLIANZ SE,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,10359
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5782
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,350
London and Country Mortgages Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,48
ManyPets Ltd,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,3709
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,100
Marshmallow Financial Services Ltd,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5700
MBNA Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,8
MetLife Europe d.a.c.,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,808
Millennium Insurance Company Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,759
MotoNovo Finance Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,22
MUNICH RE DIGITAL PARTNERS LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3850
National House-Building Council,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,698
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,83
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,2024-10-05 to 2025-03-31,H1 2025,Insurance & pure protection,168
Newcastle Building Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1
Northern Bank Limited,DANSKE BANK A/S,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1
One Call Insurance Services Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3098
OVO HOME SERVICES LTD,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2067
Paragon Bank Plc,PARAGON BANKING GROUP PLC,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,2
Phoenix Life CA Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,396
Phoenix Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3321
Pinnacle Insurance Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2817
Principality Building Society,PRINCIPALITY BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2
QBE UK Limited,QBE INSURANCE GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,976
Qmetric Group Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,4122
QUILTER FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5
RAC FINANCIAL SERVICES LIMITED,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,8793
ReAssure Life Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,335
ReAssure Limited,PHOENIX GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,597
Reassured Ltd,NO GROUP,2024-08-01 to 2025-01-31,H1 2025,Insurance & pure protection,556
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,590
Saga Services Limited,SAGA PLC,2024-08-01 to 2025-01-31,H1 2025,Insurance & pure protection,8353
Sainsbury's Bank Plc,J SAINSBURY PLC,2024-09-01 to 2025-02-28,H1 2025,Insurance & pure protection,860
Santander UK Plc,SANTANDER UK GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,131
Scottish Equitable Plc,AEGON N.V.,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,10
Scottish Friendly Assurance Society Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,407
SCOTTISH WIDOWS LIMITED,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1413
Scottish Widows Unit Trust Managers Limited,LLOYDS BANKING GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,0
Shop Direct Finance Company Limited,THE VERY GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,394
Simplyhealth Access,SIMPLYHEALTH GROUP LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2222
Skipton Building Society,SKIPTON BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5
Society of Lloyd's,SOCIETY OF LLOYD'S,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,4972
Somerset Bridge Insurance Services Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1403
ST. JAMES'S PLACE UK PLC,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5
St. James's Place Wealth Management Plc,ST. JAMES'S PLACE PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,145
Starr International (Europe) Limited,"STARR INTERNATIONAL COMPANY, INC.",2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1326
Telefonica Seguros y Reaseguros Compania Aseguradora S.A.U.,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3103
Telefonica UK Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,416
Tesco Personal Finance Limited,NO GROUP,2024-09-01 to 2025-02-28,H1 2025,Insurance & pure protection,4180
Tesco Underwriting Limited,TESCO BANK (TESCO PLC),2024-09-01 to 2025-02-28,H1 2025,Insurance & pure protection,2550
The Co-operative Bank Plc,CO-OPERATIVE BANK HOLDINGS (THE),2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1
The National Farmers' Union Mutual Insurance Society Limited,NFU MUTUAL INSURANCE SOCIETY LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,5252
The Prudential Assurance Company Limited,M&G PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,718
The Royal Bank of Scotland Plc,NATWEST GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,21
The Royal London Mutual Insurance Society Limited,ROYAL LONDON GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2152
Tradex Insurance Company PLC,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,3465
TSB Bank plc,BANCO DE SABADELL SA,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,23
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,42802
USAY BUSINESS LTD,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,666
Utility Warehouse Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,3996
Vitality Corporate Services Limited,DISCOVERY LIMITED,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,10069
Vodafone Limited,NO GROUP,2024-10-01 to 2025-03-31,H1 2025,Insurance & pure protection,225
Volkswagen Financial Services (UK) Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,35
Wesleyan Assurance Society,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,122
West Bay Insurance Plc,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,751
Xbridge Limited,NO GROUP,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,1186
Yorkshire Building Society,YORKSHIRE BUILDING SOCIETY,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,19
Zurich Assurance Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2230
Zurich Insurance Company Ltd,ZURICH INSURANCE GROUP AG,2025-01-01 to 2025-06-30,H1 2025,Insurance & pure protection,2848
Accredited Insurance (Europe) Ltd,ACCREDITED GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,4337
Acm Ulr Limited,MARKERSTUDY GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,636
ACORN INSURANCE AND FINANCIAL SERVICES LIMITED,ACORN GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,766
Acromas Insurance Company Limited,SAGA PLC,2025-02-01 to 2025-07-31,H2 2025,Insurance & pure protection,1840
Adrian Flux Insurance Services Group,NO GROUP,2025-04-01 to 2025-09-30,H2 2025,Insurance & pure protection,2518
Advisory Insurance Brokers Limited,ARDONAGH GROUP LIMITED,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,651
Ageas Insurance Limited,AGEAS SA-NV,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,4403
Ageas Retail Limited,AGEAS SA-NV,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,909
Aioi Nissay Dowa Insurance UK Limited,AIOI NISSAY DOWA EUROPE LIMITED,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1554
Allianz Insurance Plc,ALLIANZ GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,2908
AMERICAN EXPRESS SERVICES EUROPE LIMITED,AMERICAN EXPRESS,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,106
AMERICAN INTERNATIONAL GROUP UK LIMITED,"AMERICAN INTERNATIONAL GROUP, INC. (AIG)",2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,955
AmTrust Specialty Limited,AMTRUST INTERNATIONAL,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1976
ANIMAL FRIENDS INSURANCE SERVICES LIMITED,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,3482
Antares Insurance Company Limited,QIC CAPITAL LLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,650
ARAG Legal Expenses Insurance Company Limited,ARAG PLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,2976
Arthur J. Gallagher Insurance Brokers Limited,GALLAGHER GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,977
Assurant General Insurance Limited,ASSURANT INC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,6731
Astrenska Insurance Limited,COLLINSON GROUP,2025-05-01 to 2025-10-31,H2 2025,Insurance & pure protection,2862
Asurion Europe Limited,ASURION,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1566
Atlanta Insurance Intermediaries Limited,MARKERSTUDY GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,8517
Automobile Association Insurance Services Limited,AUTOMOBILE ASSOCIATION (AA),2025-02-01 to 2025-07-31,H2 2025,Insurance & pure protection,6657
Avantia Insurance Limited,AVANTIA GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1100
Aviva Health UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1236
Aviva Insurance Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,49795
Aviva Life Services UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,4523
Aviva Protection UK Limited,AVIVA PLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,760
AWP Assistance UK Ltd,ALLIANZ GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,3144
AWP P&C S.A.,ALLIANZ GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,2042
AXA Insurance Designated Activity Company,AXA GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1817
AXA Insurance UK Plc,AXA GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,16052
AXA PPP Healthcare Limited,AXA GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,19555
Bank of Ireland (UK) Plc,BANK OF IRELAND GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,26
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,171
Barclays Bank Plc,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,1
Barclays Bank UK PLC,BARCLAYS GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,148
BISL Limited,MARKERSTUDY GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,11577
British Gas Services Limited,BRITISH GAS,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,49016
BUPA Insurance Services Limited,BUPA GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,28091
CALL ASSIST LIMITED,NO GROUP,2025-05-01 to 2025-10-31,H2 2025,Insurance & pure protection,724
Canada Life Limited,CANADA LIFE,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,183
Capital One (Europe) plc,CAPITAL ONE FINANCIAL CORPORATION,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,20
Car Care Plan Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,876
Carfinance247 Limited,247 MONEY GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,199
Carmoola Limited,NO GROUP,2025-07-01 to 2025-12-31,H2 2025,Insurance & pure protection,0
